Vendor,Category,City,Phone,Email,Description,Google Maps,IG
Palais Azalé,Venue,Marrakech,06 12 63 36 95,,,,https://www.instagram.com/palais_azale/
Noufissa traiteur,Caterer,Marrakech,0661 873 692,,,,https://www.instagram.com/noufissa.traiteur/
Maison Sama,Caterer,Marrakech,06 61 694847,,,,https://www.instagram.com/maisonsama.traiteur/
Imagine media ayoub hamni,Photographer,Marrakech,0661 72 89 93,,"Régie-Grue/Photobook/drone/écran géant
Photographe tout le Maroc",,https://www.instagram.com/imagine_mediaa/
Rhita caftan,Dresses,Marrakech,06 60 19 92 92,,,,https://www.instagram.com/rhitacaftan.marrakech/
Tangaft chez zamrani,Caterer,Marrakech,06 76004101,,,,https://www.instagram.com/tangaft_chez_zamrani/
Ben rahou,Caterer,Marrakech,,,,,https://www.instagram.com/benrahou_traiteur/
Negafa Fatima hamido,Caterer,Marrakech,0648 492 252,,,https://maps.apple.com/place?map=explore&address=Rue+Abdelkader+Mesfioui+79%2C+40070+Marrakesh%2C+Morocco&coordinate=31.656757%2C-7.993216&name=Rue+Abdelkader+Mesfioui+79%E2%80%9391,https://www.instagram.com/negafa_fatima_hamido/
Salle RAMANE,Caterer,Marrakech,06 62624366,,,"https://www.google.com/maps?q=Salle+de+f%C3%AAte+Ramane,+40000+Alouidane,+Marrakech+40000,+Morocco&ftid=0xdaff1829137a6ad:0xbc352585811f1f01&hl=en-CA&gl=ca&coh=181295&entry=gps&lucs=,47069507,47071704&g_ep=CAISBjYuODMuMRgAINeCAyoSLDQ3MDY5NTA3LDQ3MDcxNzA0QgJDQQ%3D%3D&g_st=ic",https://www.instagram.com/salle_ramane/
Mosaic Traiteur,Caterer,Marrakech,0678 789899,sales@mosaic-morocco.com,,,https://www.instagram.com/mosaic_traiteur_by_ladresse/
Salle Rayan,Venue,Marrakech,06 06 486 440,,,,https://www.instagram.com/salle_rayan/
DAR LYAQOUT,Negafa,Marrakech,06 13010789,,,,https://www.instagram.com/darlyaqout//
Dar Laaziza Bouskoura,Venue,Casabalnca,,,,,https://www.instagram.com/darlaaziza/
Traiteur Ghazal Évent,Caterer,Marrakech,07 00711703,,,,https://www.instagram.com/ghazal_events_/
Traiteur Nzihi,Caterer,Marrakech,06 61757066,,,"Daoudiate, Marrakech 40070",https://www.instagram.com/traiteur_nzihi_marrakech/
Palettes,Caterer,Marrakech,,,,,https://www.instagram.com/palettesmarrakech/
LES MAITRES PRESTIGES,Caterer,Marrakech,06 68 47 47 98,,,"Route de Safi en face McDonald Résidence IDER N5, Marrakech 40000",https://www.instagram.com/lesmaitresprestiges/?hl=fr
TRAITEUR CHAKIR,Caterer,Marrakech,06 61 21 96 46,,,https://www.google.com/maps/place//data=!4m2!3m1!1s0xdafef0048736bab:0xe000e013377181f8?entry=s&sa=X&ved=1t:8290&hl=fr-fr&ictx=111&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn-GzdIISR1BKsFphNkEKsZx8cZygUZRukyVRftX1y8FCRIeQhtwuCB1DZYpQ_aem_rXnq8Vl9mW_QSOkKPKXdHw,https://www.instagram.com/traiteur_chakir_marrakech/
Maison Sefiani,Caterer,Rabat,06 68931864,,,"31, Av Souss, Quartier Administratif, Souissi, Rabat, Morocco 10170",https://www.instagram.com/maisonsefiani/
Zinevent Marrakech,Event Planner / Decor,Marrakech,06 65 91 47 56,,,,https://www.instagram.com/zineventt/
Bougtaib Traiteur,Caterer,Marrakech,06 62725979,,,"https://www.google.com/maps?q=N902,+Traiteur+BOUGTAIB+%C3%89VENT,+Riad+Ourika,+Lotissement,+Marrakech+40000&ftid=0xdafefe3501cf475:0x225878ecdde23134&entry=gps&lucs=,94267460,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI1LjIwLjAuNzU3ODEwNjA5MBgAINeCAypsLDk0MjY3NDYwLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjAzMDE5LDQ3MDg0MzA0LDk0MjA4NDU4LDk0MjA4NDQ3QgJNQQ%3D%3D&skid=36c91adf-62b2-45ab-a414-fdb28ecfb45c&g_st=com.google.maps.preview.copy",https://www.instagram.com/bougtaib_traiteur/
Amine Kritbi,Caterer,Marrakech,06 64 50 76 30,,,"Opération Raja numéro 112, Massira II, Marrakech 40000",https://www.instagram.com/traiteur_kritbi_marrakech/
Belmokhtar traiteur,Caterer,Rabat, 07 75152492,,,,https://www.instagram.com/belmokhtartraiteur/
Kasr Hiba,Venue,Rabat,06 70821634,kasrhiba@gmail.com,,"Adresse: 2, Avenue Al Majd Quartier Industriel C.Y.M RABAT",https://www.instagram.com/salle__des_fetes_kasr_hiba/
PALAIS KABBAJ,Venue,Rabat,,,,,https://www.instagram.com/palais_kabbaj/
PALAIS OUAZZANI,Venue,Rabat,06 61 08 26 93,,,,https://www.instagram.com/palaisouazzani/
Wafae Loumari,Decor,Rabat,06 49982812,,,"https://www.google.com/maps?q=X7P7+XW8+Loumari+EVents,+Sal%C3%A9&ftid=0xda741005fa6f1f1:0xad0286c574db387a&entry=gps&lucs=,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI1LjE2LjEuNzQ3NTI2NjMwMBgAIIgnKmMsOTQyMjQ4MjUsOTQyMjcyNDcsOTQyMjcyNDgsOTQyMzExODgsNDcwNzE3MDQsNDcwNjk1MDgsOTQyMTg2NDEsOTQyMDMwMTksNDcwODQzMDQsOTQyMDg0NTgsOTQyMDg0NDdCAk1B&skid=92283ae9-9396-4c48-afe6-7a83f32544d7&g_st=com.google.maps.preview.copy",https://www.instagram.com/loumari.events_by_wafae/
Salon Majorelle,Makeup,Rabat,07 00463240,,👰🏼‍♀️Salon de Beauté 100% Femmes Onglerie✨Coiffure✨Esthétique✨Makeup✨Hair-Style 7/7 jours De 10h00 à 21h00,"https://www.google.com/maps/place/Salon+Majorelle+MZ/@33.994335,-6.730955,16z/data=!4m6!3m5!1s0xda741ddccfb6f3f:0x256aac8372a21b24!8m2!3d33.9943603!4d-6.7309787!16s%2Fg%2F11px6zcfm_?hl=fr-MA&entry=ttu&g_ep=EgoyMDI1MTExMS4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/salon.majorelle.mz/
Abidi Évents,Event Planner,Rabat,06 64 44 68 44,,Wedding planner 💒 Décoration florale🌹🌹 Éclairage-chapiteaux-Structure,,https://www.instagram.com/abidi_events/
Simohamed Dokkali,Decor,Rabat,06 65849635,,,,https://www.instagram.com/dk_event_wedding/
berrada events,Caterer,Rabat,,ʙᴇʀʀᴀᴅᴀ.ᴇᴠᴇɴᴛs1@ɢᴍᴀɪʟ.ᴄᴏᴍ,,,https://www.instagram.com/berrada_events/
Touzani Bolabola,Artist,Rabat,06 50 31 19 60,,,,https://www.instagram.com/touzani_bolabola_royal/
zehouani photography,Photographer,Rabat,06 66935341,zehouani.aziz@gmail.com,Professional Photography📽🎥📷 Based in Sale-Rabat-kinetra Fashion/Celebrity/Wedding,,https://www.instagram.com/zehouani.photography/
mohcin bola bola,Artist,Rabat,06 63323017,,,,https://www.instagram.com/mohcin_bola_bola_officiel/
Moubarik events,Caterer,Rabat,06 70821634,,,"2 Avenue El Majd Q.I c.y.m, Rabat, Morocco",https://www.instagram.com/moubariktraiteur/
Otmane dar tourat,Artist,Rabat,06 65134131,,,,https://www.instagram.com/otmane_bola_bola_/
salle des fetes niama,Venue,Rabat,06 61983792,brahim-bz@outlook.com,,"https://www.google.com/maps?q=Salle+des+f%C3%AAtes+Niama,+Av.+Hassan+II,+Rabat&ftid=0xda76ce65a19d4e7:0xa12c9cf14587af90&entry=gps&lucs=,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTI0LjEuNzM0NDAYACDXggMqWiw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICTUE%3D&g_st=com.google.maps.preview.copy",https://www.instagram.com/salle_des_fetes_niama/
O’PLAT,Caterer,Rabat,06 98 98 89 95,,,,https://www.instagram.com/oplat.traiteur/
Dar Souad,Venue,Rabat,06 71 48 45 71,,,,https://www.instagram.com/traiteurdarsouad/
Traiteur Safouane,Caterer,Kenitra,06 61 58 52 07,,📍Maître traiteur d'organisation de mariage📍 wedding ✨ event planning spécialiste 🎯,"Lotis Alliance Darna TR2 PHASE B N 164 Mehdia kenitra, Mehdia, Kenitra, Morocco 14000",https://www.instagram.com/traiteursafouane/
traiteur abdouni,Caterer,Kenitra,06 06721454,,,,https://www.instagram.com/traiteur.abdouni/
Assia Abassidi Otmane,Negafa,Kenitra,06 10 06 91 07,,,"https://www.google.com/maps?q=Quartier+d%27Ouled+Oujih,+K%C3%A9nitra&ftid=0xda759a2f2943e7f:0x36881543770d2773&entry=gps&lucs=,94242517,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI1LjA3LjMuNzI1MzE0MTA1MBgAINeCAypjLDk0MjQyNTE3LDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjAzMDE5LDQ3MDg0MzA0LDk0MjA4NDU4LDk0MjA4NDQ3QgJNQQ%3D%3D&g_st=com.google.maps.preview.copy",https://www.instagram.com/negafa.assia/
Negafa Najwa,Negafa,Kenitra, 07 16131799,,,,https://www.instagram.com/negafa_najwa_kenitra/
makeup bylayla,Makeup,Rabat,06 87494112,,Professional Makeup Artist Brides | special guests | events | shootings,,https://www.instagram.com/make_up_bylayla/
LAGALA,Event Planner,Casablanca,07 22051005,,,,https://www.instagram.com/lagala_events/
Diamond palace,Venue,Rabat,06 49982812,,,"https://www.google.com/maps/place/X67R%2BMQG+La+ferme+AHBA,+Unnamed+Road,+Rabat,+Sal%C3%A9/data=!4m2!3m1!1s0xda7152f69e29ced:0x4a61311fbe29517a?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI1LjE3LjAYACDXggMqdSw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIxMjY2NSw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw0NzA4NDM5Myw5NDIxMzIwMCw5NDI1ODMxOUICTUE%3D&skid=48a10f03-4df1-4d6b-822f-d47d810941ec&g_st=aw",https://www.instagram.com/diamond1palace/
Forest Palace,Venue,Rabat,06 64177589,,,maps.app.goo.gl/zEEwfKHz3pSBBJuN6?g_st=ic,https://www.instagram.com/salle_des_fetes_forest_palace/
Hayni Events,Venue,Rabat,06 61154092,,,,https://www.instagram.com/hayni_events/
Lmejdoubi Events,Event Planner,Rabat,06.19.60.94.29,,,,https://www.instagram.com/lmejdoubi_events/
negafa diamantjad,Negafa,Rabat,06 61349307,,,,https://www.instagram.com/negafadiamantjad/
White Dress,Dresses,Casablanca,06 59715810,,🤍Robes de créateurs Pronovias✨Pronuptia ✨MoriLee.. 🤍 Deux sœurs passionnées 👱🏻‍♀️Malak & Jannat👩🏻,Casablanca quartier Palmier,https://www.instagram.com/whitedress_locationderobes/
Villa Louna,Venue,Casablanca,,villalounapro@gmail.com,Villa Louna | L’art de recevoir 🌙 Evénements privés et professionnels✨,,https://www.instagram.com/villa_louna/
Dar Diafa,Venue,Casablanca,06 00660711,,,,https://www.instagram.com/villa_dar_diafa/
Villa Azzaitoune,Venue,Rabat,,,,,https://www.instagram.com/villa_azzaitoun/
Maison Manouar,Caterer,Rabat,06 22859995,,,"Agdal, Rabat, Morocco 10000",https://www.instagram.com/maison_manouar/
Selya events,Decor,Casablanca,0607-909137,,,,https://www.instagram.com/selya.events/
KASTALI EVENT,Event Planner,Casablanca,06 62873387,Kastali.event@gmail.com,,,https://www.instagram.com/kastali.event/
RIAD AL HAMRA,Venue,Casablanca,0661 322 952 ,,,"Av Al Qods et Haifa Quartier Cherifa N°4, Casablanca, Morocco",https://www.instagram.com/salledesfetesriadalhamra/
CHRIF MON TRAITEUR,Caterer,Marrakech,07 07949408,,,,https://www.instagram.com/chrifmontraiteur/
Traiteur Benghanem,Caterer,Marrakech,06 33637863,benghanemtraiteur@gmail.com,,,https://www.instagram.com/benghanem__traiteur/?hl=fr
Traiteur Aflak,Caterer,Marrakech,0661 74 35 89,,,,https://www.instagram.com/aflak_traiteur_deluxe/
Fleur de Sel,Event Planner,Tetouan,,,𝑊ℎ𝑒𝑟𝑒 𝑖𝑛𝑠𝑝𝑖𝑟𝑒𝑑 𝑖𝑑𝑒𝑎𝑠 𝑡𝑢𝑟𝑛 𝑖𝑛𝑡𝑜 𝑟𝑒𝑎𝑙𝑖𝑡𝑦🎠 ғᴏᴜɴᴅᴇᴅ ʙʏ ᴀ ʜɪɢʜʟʏ ᴘᴀssɪᴏɴᴀᴛᴇ ᴄᴏᴜᴘʟᴇ🤍,,https://www.instagram.com/fleurdesel.traiteur/
Negafa Khmissa Nour,Makeup,Rabat,,,,,https://www.instagram.com/khmissanour/
Douni Alami,Makeup,Rabat,06 69211149,,Mariée Uniquement 🚫No guests International Makeup artist : 💄 Expérience beauté exclusive 🌎,,https://www.instagram.com/douni.alami/
Saphir,Venue,Casablanca,06 61496102,,✨Upgrade your gatherings✨ Soirées - Mariages - Conférences - Séminaires - Évènements culturels & more.,210 Boulevard Zoulikha Naciri.,https://www.instagram.com/saphir_casablanca/
Rachid Zerktouni,Caterer,Casablanca,06 61148709,,"Mariages, réceptions et événements professionnels.",maps.app.goo.gl/noowRksfwsruWNrb8,https://www.instagram.com/traiteurrachidzerktouni/
Maison Théa,Event Planner,Rabat,06 66043023,,"Traiteur, créateur d’événements sur mesure ✨Tous types d’événements⭐️Particuliers et professionnels",,https://www.instagram.com/maison.thea/
Maison Dulce,Event Planner,Casablanca,0672 12 12 59,,Taiteur & Events Planner Catering & Corporate Events,,https://www.instagram.com/maisondulcetraiteur/
Dream Event Designer,Decor,Casablanca,,,"Décoration d'événement privé et professionnel 🎨 Eclairage,Écran Led,Structure,chapiteaux,déc",,https://www.instagram.com/dreamevents_maroc/
Traiteur Ghammad,Caterer,Casablanca,06.64.76.69.03,,"Soirée, mariage, défilé exposition, festival et ouverture des locaux commerciaux","N°99 Rue 15 ,Bd Haifa,Jnane Californie Casablanca",https://www.instagram.com/ghammad_maitre_traiteur10/
TAMGHRA TRAITEUR,Event Planner,Casablanca,06 62 04 03 36,traiteur.tamghra@yahoo.fr,,,https://www.instagram.com/tamghra_traiteur/
CHRIQUAT Traiteur,Caterer,Casablanca,06 62106628,,"✨ Créateurs d’instants inoubliables, où chaque détail reflète l’élégance 🌿 Un héritage de savoir-faire, porté par la passion et le goût du raffinement",,https://www.instagram.com/chriquat_traiteur/
Traiteur paradis des anges,Event Planner,Casablanca,06 62817938,,,,https://www.instagram.com/paradis_des_anges_events/
Alexandrie traiteur Events,Event Planner,Casablanca,0660 170 170,,💎Wedding Planner 💑💕🇲🇦 Luxury Wedding & Event planner📽🇲🇦,,https://www.instagram.com/alexandrie.traiteur/
Zafira Laila,Negafa,Casablanca,06 61674488,,"des tenues de luxe,des accessoires raffinés ,et un service royal ,Votre épanouissement est notre but",,https://www.instagram.com/negafa_zafira/
Prestige Palace,Venue,Casablanca,06 73718484,,Service événementiel Espace luxueux pour célébrer vos événements.,,https://www.instagram.com/palace.prestige/
DAR L'MLIH,Caterer,Casablanca,,,"- Buffet: soutenance, anniversaire, naissance, hennah,pot de départ, wedding... -service traiteur",,https://www.instagram.com/dar.lmlih/
PERLA,Dresses,Casablanca,06 51 45 64 98,,👰🏻‍♀️ Location de robes de mariées haute couture partout au Maroc 👗Essayages sur rendez-vous uniquement,,https://www.instagram.com/perla.weddingdresses/
ACHRAF GENTLEMEN’S,Dresses,Casablanca,07 20303063,,• Location de costume et vêtements traditionnels • L'accompagnement partout au Maroc • Déplacement professionnel,"https://www.google.com/maps/place/Achraf+Gentlemen%E2%80%99s/@33.5881912,-7.5480948,17z/data=!3m1!4b1!4m6!3m5!1s0xda7cdbf019104db:0x5e289a5c96107b33!8m2!3d33.5881912!4d-7.5480948!16s%2Fg%2F11kr77wxn3?entry=ttu&g_ep=EgoyMDI1MTExMi4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/achraf_gentlemens/
JNANE YASMINE,Event Planner,Casablanca,06 61199578,,Organisation d’événement : Mariage 〰️ Baptême 〰️ Anniversaire 〰️ Team Building 〰️ Shooting 〰️ Conférence,,https://www.instagram.com/jnane.yasmine/
orchestre radi,Artist,Casablanca,07 14367110,,,"Belvédère, Casablanca, Morocco",https://www.instagram.com/orchestre_radi/
Traiteur Zohour Tanger,Caterer,Tanger,06 61559760,traiteurzohourtanger.O@gmail.com,,"https://www.google.com/maps/place/Traiteur+Zohour+Tanger/@35.7693826,-5.8191331,17z/data=!3m1!4b1!4m6!3m5!1s0xd0b87483c105505:0xfc84d125e582e680!8m2!3d35.7693826!4d-5.8191331!16s%2Fg%2F11fd4nd07f?entry=ttu&g_ep=EgoyMDI1MTExMi4wIKXMDSoASAFQAw%3D%3D",https://www.instagram.com/traiteurzohourtanger/?hl=en
Alaoui Traiteur Tanger,Caterer,Tanger,07 10002009,,,"Bureau: Tanger , Boulevard En face de Amendis Centrale",https://www.instagram.com/alaouitraiteurtanger/?hl=en
Traiteur Driouch Events,Caterer,Tanger,07 10002009,,,"Tanger , Boulevard En face de Amendis Centrale",https://www.instagram.com/traiteur.driouch.tanger/
Fancy's Gourmet,Caterer,Tanger,06 60 36 32 99,,,"https://www.google.com/maps?q=Fancy%27s+Gourmet+-+Ib%C3%A9ria,+Av.+Sidi+Mohamed+Ben+Abdellah,+Tanger+90000&ftid=0xd0c7997a136f14f:0xd7495c44a2b4222f&entry=gps&lucs=,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTI5LjEuODA5MjAYACCenQoqWiw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICTUE%3D&g_st=com.google.maps.preview.copy",https://www.instagram.com/fancysgourmet/?hl=en
Afrah Nas,Event Planner,Tanger,06 57344203,,,"Av. Bir Anzarane, Tangier, Morocco 90060",https://www.instagram.com/nasfes.events/?hl=en
Traiteur issam,Caterer,Tanger,06 21 60 15 67,,,Hay El Jadid Rue HASSANATTAR NR 18 Tanger,https://www.instagram.com/traiteurissamtanger/
qasr diafa,Venue,Tanger,06 60994953,,,,https://www.instagram.com/qasr_diafa_tanger/?hl=en
traiteur amine,Caterer,Tanger,06 62 12 35 51,,✨ Organisation & décoration d’événements 🎂 Mariages • Anniversaires • Occasions spéciales 🍽️ Buffets • Décorations,maps.app.goo.gl/h9M76NRVmchNq9CA6,https://www.instagram.com/traiteur.amine/?hl=en
Qasr Al Anwar,Event Planner,Tanger,06 62446607,,Unveil the magic of your love story at Qasr al Anwar where timeless elegance meets your dreams.,"Qasr al Anwar, Tangier, Morocco",https://www.instagram.com/qasr.al.anwar/
Traiteur Rihab,Event Planner,Tanger,0673 341 894,,,"Av. idriss 1er, Residence Al Khair, magasin N13 Tangier, Morocco 90000, Tangier, Morocco 90000",https://www.instagram.com/traiteurrihabofficiel/?hl=en
Traiteur amennou,Caterer,Tanger,06 61476327,,Organisation de tous vos événements avec une qualité de luxe ✨ pour plus d’informations n’hésitez pas de nous contacter,,https://www.instagram.com/traiteur_amennou/
la Méditerranée,Caterer,Tanger,06 61068807,,"Nous vous accompagnons dans l’organisation de toutes vos réceptions et tout type de célébrations : mariage, anniversaire, réunion baptê",,https://www.instagram.com/la_mediterrane_traiteur/?hl=en
Traiteur Anouar Officiel,Caterer,Tanger,06 61 29 88 40,,,,https://www.instagram.com/traiteuranouarofficiel/?hl=en
Traiteur Lemnware,Caterer,Tanger,06 00374047,,,,https://www.instagram.com/traiteur_lemnwar/?hl=en
Filali traiteur,Caterer,Tanger,06 64153945,,"Traiteur de touts vos événements 🎂 Traiteur de touts vos mariage 💍 Vous étes notre clients ,On oublie jamais que vous ètes les rois 👑",,https://www.instagram.com/event.filali/?hl=en
Karam Traiteur,Caterer,Tanger,06 42414519 ,,,maps.app.goo.gl/sqNHRgUNQcFRmuueA?g_st=ic,https://www.instagram.com/karam_traiteur_tanger/?hl=en
Traiteur Royal Tanger,Caterer,Tanger,06 07560056,,,,https://www.instagram.com/traiteur_royaltanger/?hl=en
Traiteur Rachid,Caterer,Tetouan,06 77261274,,,maps.app.goo.gl/o4hr1biVux4t8T1k8?g_st=ipc,https://www.instagram.com/traiteur.rachid/?hl=en
Youssef Bidaoui,Caterer,Tetouan,06 61180377,,,,https://www.instagram.com/hafalatalbidaoui/?hl=en
Traiteur Dragees Royales,Caterer,Tetouan,06 18 245248,,Destination wedding design & helping brides plan their dream wedding 👰🤵,"https://www.google.com/maps?q=HJFX+VPF,+Av.+Chatila,+T%C3%A9touan&ftid=0xd0b43d160bebabf:0x5747c9657339e268&hl=fr-MA&gl=ma&entry=gps&lucs=,47085543,47071704&g_ep=CAISBjYuODMuMRgAINeCAyoSLDQ3MDg1NTQzLDQ3MDcxNzA0QgJNQQ%3D%3D&g_st=ic",https://www.instagram.com/traiteurdrageesroyales/?hl=en
Traiteur Elmofadal,Caterer,Tetouan,06 61692160,,👨‍🍳 | Traiteur Reconnu & Organisateur d'événements « Maître Traiteur Tetouan Depuis 1979 »,maps.app.goo.gl/bjjLn6JyexGKJM828?g_st=iw,https://www.instagram.com/traiteur_elmofadal/
Traiteur Younes,Caterer,Tetouan,06 77080268,,,,https://www.instagram.com/traiteuryounes/?hl=en
TRAITEUR JABER EVENTS,Caterer,Tetouan,,,,"La Belle Fleur Royal, Av 14 kaboul, Tétouan",https://www.instagram.com/traiteur_jaberevents/?hl=en
Traiteur abdou,Caterer,Tetouan,06 42284164,,,,https://www.instagram.com/afrah__abdou74/?hl=en
Traiteur Ben’Z Event,Caterer,Tetouan,06 61820700,,,,https://www.instagram.com/benz_event_traiteur/
Palace Riyad,Venue,Tetouan,06 61 41 59 89,,,,https://www.instagram.com/palace_riyad_officiel/?hl=en
Kasr el Arais,Venue,Tetouan,,,,,https://www.instagram.com/kasr_el_arais_berrad/?hl=en
Alyassamine Palace,Venue,Tetouan,06 30409090,,Salle polyvalente pour tous types d'événements ✨,"https://www.google.com/maps?q=Al+Yassamine+Palace+%D9%82%D8%B5%D8%B1+%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86,+Avenue+Tamouda,+N2,+Tetouan+93000&ftid=0xd0b697776769d71:0xd6766e58c0d05bb5&entry=gps&lucs=,94242520,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTM1LjEuODcwOTAYACDXggMqYyw5NDI0MjUyMCw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICTUE%3D&g_st=com.google.maps.preview.copy",https://www.instagram.com/palace_alyassamine/?hl=en
Janna Palace,Venue,Tetouan,05397-15005,,Happily ever after 👰🤵 Wedding and event planner Imagitation without limits,maps.app.goo.gl/TuZE65bmnzySkVeD7?g_st=iw,https://www.instagram.com/janna.palace/?hl=en
Kasr zohour,Venue,Tetouan,06 64695299,,,,https://www.instagram.com/kasrzohour/?hl=en
Palace chams,Venue,Tetouan,06 68814936,,Salle des fêtes Palace Chams – Pour tous vos événements inoubliables.,"Route Martil av abdelkhalak torres-Tetouan, Tétouan 39000",https://www.instagram.com/palacechams/
Maxime Palace,Venue,Tetouan,06 66 47 56 65,,,,https://www.instagram.com/maxime_palace/?hl=en
la touche royal,Decor,Tetouan,06 84179492 ,,,"Jamae afilal - Av ahmed al Hiba - Twilae, Tétouan 39000",https://www.instagram.com/la_touche_royal/
L Mansion Guest Palace,Venue,Marrakech, 06 61 170 421,lmansionpalace@gmail.com,LUXURY HOSPITALITY I BESPOKE EVENTS Exclusive Venue l Palace of 10 Suites | Villa 4 💍 Weddings,"Km 9 Route de Ourzazate, Marrakech Morocco",https://www.instagram.com/l.mansion.marrakech/?hl=en
Eclaire Wedding & Event,Venue,Rabat,06 61430327,eclaireevents1@gmail.com,,,https://www.instagram.com/eclaire_weddings_events/?hl=en
Palais Alyakout,Venue,Fes,06-63-63-76-63,,,"route Airoport Fes Saiss, Fez, Morocco 30000",https://www.instagram.com/palaisalyakout/?hl=en
Palais Benjelloun,Venue,Fes,06 62 07 20 41,,Le lieu idéal pour des événements à la hauteur de vos envies,,https://www.instagram.com/palaisbenjelloun/?hl=en
Ferme chaymae,Venue,Fes,,,,"https://www.google.com/maps?q=WXP6+R8C+La+ferme+chaymae,+Douar+oulad+hassoune+andalouss+ain+chkef+moylay+yacoup,+F%C3%A8s+30000&ftid=0xd9f899219311343:0xcae6443b80e60644&hl=fr-MA&gl=ma&coh=183436&entry=gps&lucs=,47074635,47071704&g_ep=CAISBjYuNzkuMxgAINeCAyoSLDQ3MDc0NjM1LDQ3MDcxNzA0QgJNQQ%3D%3D&g_st=ic",https://www.instagram.com/la_ferme_chaymae/?hl=en
Negafa hiba,Negafa,Casablanca,06 61697421,negafahiba1@gmail.com,,2mars casablanca,https://www.instagram.com/negafa_hiba/?hl=en
Palace Layali,Venue,Casablanca,06 17181818,,,,https://www.instagram.com/palace_layali/?hl=en
Ayoub aitsamr,Event Planner,Rabat,,,Décoration mariages - Luxury Wedding Planning - Conseil - Wedding Impérial - Aménagement D’espace,,https://www.instagram.com/ayoub_aitsamr/?hl=en
Asmaa hairstyle,Makeup,Casablanca,0677-094769,,Des styles de coiffure élégants et trendy pour votre . grand jour /fiançialles /henné / invitée.,,https://www.instagram.com/asmaa.hairstyle/?hl=en
MAKE ME FABULOUS,Makeup,Rabat,,,"Luxury Bridal Makeup Team Shooting planer 🖋️Exquisite glow, timeless elegance Let’s make our beauty dreams come true",,https://www.instagram.com/makemefab.maroc/?hl=en
Palais Atlas,Venue,Casablanca,0674 222 222,,,,https://www.instagram.com/palaisatlas/?hl=en
TISSIMA EVENTS,Event Planner,Casablanca,06 18 79 04 72,,💍 Mariages / Fiançailles / Conférences,,https://www.instagram.com/tissima_events/?hl=en
lahlou event,Event Planner,El Jadida,06 63375258,,"𝕷𝖆𝖍𝖑𝖔𝖚 𝕰𝖛𝖊𝖓𝖙 💫 الضيافة و الفخامة Traiteur de Prestige Event planner Organisateur de Réception, Mariage , Baptême",maps.app.goo.gl/xxRaYT593dv3B27S6?g_st=ic,https://www.instagram.com/lahlouevent/?hl=en
Rafini’s Events,Event Planner,El Jadida,06 29 34 51 33,,Traiteur et organisateur de tout vos événements ✨,,https://www.instagram.com/rafinis_events/?hl=en
Allal Traiteur,Caterer,El Jadida,06 61227745,,"• Mariages, réceptions, soirées privées • Location de matériel",,https://www.instagram.com/allal.traiteur.officiel/
bensammou traiteur,Caterer,Casablanca,0661 860 542,Bensammoutraiteur@gmail.com,,angle route d’El jadida et RP 3003 km 16 casablanca,https://www.instagram.com/bensammou.traiteur/?hl=en
